Feature,Decision,Reason
Ticket_Day,Removed,Low relevance across ranking techniques (0/5 methods selected it) and no independent business justification for retention.
Ticket_Month,Removed,Low relevance across ranking techniques (0/5 methods selected it) and no independent business justification for retention.
Ticket_Weekday,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
Ticket_Year,Removed,Low relevance across ranking techniques (0/5 methods selected it) and no independent business justification for retention.
tfidf_all,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_arrived,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_didnt,Removed,Low relevance across ranking techniques (0/5 methods selected it) and no independent business justification for retention.
tfidf_discount,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_for,Removed,Low relevance across ranking techniques (0/5 methods selected it) and no independent business justification for retention.
tfidf_had,Removed,Low relevance across ranking techniques (2/5 methods selected it) and no independent business justification for retention.
tfidf_how,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_im,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_in,Removed,Low relevance across ranking techniques (0/5 methods selected it) and no independent business justification for retention.
tfidf_issues,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_it,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_my,Removed,Low relevance across ranking techniques (0/5 methods selected it) and no independent business justification for retention.
tfidf_or,Removed,Low relevance across ranking techniques (2/5 methods selected it) and no independent business justification for retention.
tfidf_others,Removed,Low relevance across ranking techniques (0/5 methods selected it) and no independent business justification for retention.
tfidf_out,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_performance,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_purchase,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_recommend,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_replacement,Removed,Low relevance across ranking techniques (0/5 methods selected it) and no independent business justification for retention.
tfidf_shipping,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_the,Removed,Low relevance across ranking techniques (2/5 methods selected it) and no independent business justification for retention.
tfidf_this,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_this_purchase,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_time,Removed,Low relevance across ranking techniques (2/5 methods selected it) and no independent business justification for retention.
tfidf_update,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_was,Removed,Low relevance across ranking techniques (0/5 methods selected it) and no independent business justification for retention.
tfidf_were,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_what,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
tfidf_will,Removed,Low relevance across ranking techniques (0/5 methods selected it) and no independent business justification for retention.
tfidf_with,Removed,Low relevance across ranking techniques (1/5 methods selected it) and no independent business justification for retention.
